zona,secao,melhor_urbano,melhor_rural,tse_recente,tse_distribuido,escolas_inep,escolas_municipais,ibge_cnefe_endereco,ibge_cnefe_local,google,google_relaxado,google_centro_geometrico,ibge_povoados,ano
152,167,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,168,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,169,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,170,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), , , , , , ,POINT(-43.355953 -21.768228), , , ,2020
152,171,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), , , , , , ,POINT(-43.352498 -21.7621496), , , ,2020
152,172,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), , , , , , ,POINT(-43.352498 -21.7621496), , , ,2020
152,18,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,19,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,2,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,21,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,215,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , ,POINT(-43.3895335 -21.7899894), , , , , , , ,2020
152,216,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , ,POINT(-43.3895335 -21.7899894), , , , , , , ,2020
152,248, , , , , , , , , , , , ,2020
152,25,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,250,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,257,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,26,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,261,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), , , , , , ,POINT(-43.3509812 -21.7719805), , , ,2020
152,263,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), , , , , , ,POINT(-43.3622454 -21.7778547), , , ,2020
152,27,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,270,POINT(-43.352498 -21.7621496),POINT(-43.352498 -21.7621496), , , , , , ,POINT(-43.352498 -21.7621496), , , ,2020
152,271,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , ,POINT(-43.3544952 -21.7747755), , , , , , , ,2020
152,272,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), , , , , , ,POINT(-43.350982 -21.7635925), , , ,2020
152,28,POINT(-43.3469284 -21.7632559),POINT(-43.3469284 -21.7632559), , , , , , ,POINT(-43.3469284 -21.7632559), , , ,2020
152,281,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,286,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), , , , , , ,POINT(-43.3509812 -21.7719805), , , ,2020
152,289,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
