zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
154,297,POINT(-43.3533265 -21.7424819),POINT(-43.3533265 -21.7424819), , 
154,298, , , , 
154,299,POINT(-43.455564 -21.6481366), , , 
154,3, , , , 
154,300,POINT(-43.3454448 -21.6921993),POINT(-43.3454448 -21.6921993), , 
154,301,POINT(-43.3626884 -21.742374),POINT(-43.3626884 -21.742374), ,POINT(-43.3626884 -21.742374)
154,305,POINT(-43.3494489 -21.6901562),POINT(-43.3494489 -21.6901562), ,POINT(-43.3494489 -21.6901562)
154,306,POINT(-43.3066127 -21.6669254),POINT(-43.3066127 -21.6669254), , 
154,307,POINT(-43.3066127 -21.6669254),POINT(-43.3066127 -21.6669254), , 
154,308,POINT(-43.3066127 -21.6669254),POINT(-43.3066127 -21.6669254), , 
